,Song,Artist,Genre,Composed,Release_year,Different albums,Covers,Rating
296,I'm Not Sayin',Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1966,15,8,3.1666666666666665
297,For Lovin' Me,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1966,18,20,3.4166666666666665
298,"Pussywillows, Cat-Tails",Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1968,12,7,3.642857142857143
299,Rainy Day People,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1975,7,6,3.375
300,Last Time I Saw Her,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1968,13,4,3.7142857142857135
301,First Time Ever I Saw Your Face,Gordon Lightfoot,Pop/Rock,Ewan MacColl,1966,13,202,3.3125
302,Baby Step Back,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1982,6,0,3.25
303,Early Mornin' Rain,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1966,12,14,3.25
304,Song for a Winter's Night,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1967,11,41,3.583333333333333
305,Affair on 8th Avenue,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1968,11,1,3.5
306,Black Day in July,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1968,11,2,3.6
307,Circle Is Small,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1968,10,4,3.4166666666666665
308,Mountains and Maryann,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1968,10,2,3.6666666666666665
309,Beautiful,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1972,9,8,3.5
310,Go-Go Round,Gordon Lightfoot,Pop/Rock,Gordon Lightfoot,1967,13,2,3.928571428571429
311,Theme from Shaft,Isaac Hayes,Stage & Screen,Isaac Hayes,1970,153,75,3.211864406779661
312,Walk on By,Isaac Hayes,R&B,Burt Bacharach,1969,52,182,3.710526315789474
313,Never Can Say Goodbye,Isaac Hayes,R&B,Clifton Davis,1971,43,112,3.392857142857143
314,Do Your Thing,Isaac Hayes,R&B,Isaac Hayes,1971,32,21,3.6666666666666665
315,Mistletoe and Me,Isaac Hayes,Nostalgic,Isaac Hayes,1990,36,1,3.05
316,Few More Kisses To Go,Isaac Hayes,R&B,Isaac Hayes,1979,16,1,2.590909090909091
317,By the Time I Get to Phoenix,Isaac Hayes,R&B,Jimmy Webb,1969,12,176,3.636363636363636
318,Joy,Isaac Hayes,Electronic,Isaac Hayes,1973,11,0,3.2777777777777777
319,Wonderful,Isaac Hayes,Electronic,Isaac Hayes,1974,11,0,3.2857142857142856
320,Soulsville,Isaac Hayes,R&B,Isaac Hayes,1971,11,2,3.625
321,Don't Let Go,Isaac Hayes,R&B,Jesse Stone,1979,7,53,2.25
322,Out of the Ghetto,Isaac Hayes,Electronic,Isaac Hayes,1977,6,1,3.333333333333333
323,Chocolate Chip,Isaac Hayes,Electronic,Isaac Hayes,1975,6,1,3.3
324,Let's Stay Together,Isaac Hayes,R&B,Al Green,1972,9,147,3.4375
325,Zeke the Freak,Isaac Hayes,Electronic,Isaac Hayes,1978,8,0,3.1666666666666665
326,Pursuit of the Pimpmobile,Isaac Hayes,Rousing,Isaac Hayes,1974,8,0,2.833333333333333
327,Do You Wanna Make Love,Isaac Hayes ,R&B,Pete McCann,1980,3,4,2.6666666666666665
328,Don't Let Me Be Lonely Tonight,Isaac Hayes,R&B,James Taylor,1978,8,93,3.3
329,Love Can Build a Bridge,Judds,Country,John Barlow Jarvis,1990,33,10,2.738095238095238
330,Mama He's Crazy,Judds,Country,Kenny O'Dell,1983,25,6,3.147058823529412
331,Grandpa (Tell Me 'Bout the Good Old Days),Judds,Country,Jamie O'Hara,1985,14,6,2.772727272727273
332,Why Not Me,Judds,Country,Harlan Howard,1984,16,3,3.2222222222222223
333,Have Mercy,Judds,Country,Paul Kennerley,1985,13,2,3.25
334,Give a Little Love,Judds,Country,Paul Kennerley,1988,5,1,3.75
335,Rockin' With the Rhythm of the Rain,Judds,Country,Brent Maher,1985,10,1,3.1666666666666665
336,Girls Night Out,Judds,Country,Jeffrey Hawthorne Bullock,1984,9,4,3.75
337,I Know Where I'm Going,Judds,Country,Craig Bickhardt,1987,9,5,3.25
338,Turn It Loose,Judds,Country,Craig Bickhardt,1987,8,1,3.333333333333333
339,Cry Myself to Sleep,Judds,Country,Paul Kennerley,1983,10,5,3.1666666666666665
340,Change of Heart,Judds,Country,Naomi Judd,1983,8,1,3.5
341,Love Is Alive,Judds,Country,Kent Robbins,1984,5,1,3.75
342,Let Me Tell You About Love,Judds,Country,Paul Kennerley,1989,6,2,3.75
343,Born to Be Blue,Judds,Country,Mack David,1990,5,0,3.4
344,Maybe Your Baby's Got the Blues,Judds,Country,Graham Lyle,1987,5,2,3.5
345,Don't Be Cruel,Judds,Country,Otis Blackwell,1987,3,31,3.0
346,John Deere Tractor,Judds,Country,Lawrence Hammond,1983,3,4,3.8333333333333335
347,Guardian Angel,Judds,Country,John Jarvis,1989,2,0,3.75
348,Flies on the Butter (You Can't Go Home Again),Judds,Country,Chuck Cannon,2003,2,1,3.25
349,One Hundred and Two,Judds,Country,Wynonna Judd,1990,5,1,3.6666666666666665
350,Had a Dream (For the Heart),Judds,Country,Dennis Linde,1983,4,1,3.8333333333333335
351,"My Black Mama, Pt. 1",Son House,Blues,Son House,1990,21,1,3.4375
352,Death Letter,Son House,Folk,Son House,1965,15,27,3.208333333333333
353,Empire State Express,Son House,Blues,Son House,1965,10,2,3.5
354,John the Revelator,Son House,Blues,Traditional,1965,10,51,3.5
355,Special Rider Blues,Son House,Blues,Son House,1990,10,0,3.6666666666666665
356,Preachin' Blues,Son House,Blues,Son House,1965,9,17,3.1875
357,"Dry Spell Blues, Pt. 1",Son House,Blues,Son House,1990,11,1,3.7777777777777777
358,Preachin' the Blues,Son House,Austere,Son House,1969,8,2,3.0
359,"Preachin' the Blues, Pt. 1",Son House,Folk,Son House,1990,9,0,3.7142857142857135
360,Shetland Pony Blues,Son House,Blues,Son House,1969,8,2,3.25
361,Depot Blues,Son House,Blues,Son House,1962,8,3,3.6666666666666665
362,Levee Camp Moan,Son House,Folk,Son House,1965,6,1,3.1666666666666665
363,Grinnin' in Your Face,Son House,Blues,Son House,1995,6,9,3.333333333333333
364,You've Got a Friend in Me,Randy Newman,Pop/Rock,Randy Newman,1995,28,78,3.0
365,Short People,Randy Newman,Pop/Rock,Randy Newman,1977,20,16,3.125
366,Sail Away,Randy Newman,Pop/Rock,Randy Newman,1972,15,21,3.272727272727273
367,I Think It's Going to Rain Today,Randy Newman,Pop/Rock,Randy Newman,1968,9,49,3.4166666666666665
368,I Love L.A.,Randy Newman,Pop/Rock,Randy Newman,1983,10,4,3.2857142857142856
369,Rider in the Rain,Randy Newman,Pop/Rock,Randy Newman,1977,6,8,3.375
370,Political Science,Randy Newman,Pop/Rock,Randy Newman,1972,9,6,3.5
371,Lonely at the Top,Randy Newman,Pop/Rock,Randy Newman,1971,8,0,3.5
372,I Will Go Sailing No More,Randy Newman,Sad,Randy Newman,1995,11,7,3.0
373,Mama Told Me Not to Come,Randy Newman,Pop/Rock,Randy Newman,1970,7,33,3.7
374,Louisiana 1927,Randy Newman,Pop/Rock,Randy Newman,1974,8,34,3.571428571428572
375,Marie,Randy Newman,Pop/Rock,Randy Newman,1974,8,29,3.75
376,Rednecks,Randy Newman,Pop/Rock,Randy Newman,1974,7,1,3.75
377,You Can Leave Your Hat On,Randy Newman,Pop/Rock,Randy Newman,1972,6,43,3.8
378,God's Song (That's Why I Love Mankind),Randy Newman,Pop/Rock,Randy Newman,1983,4,9,3.5
379,It's Money That I Love,Randy Newman,Pop/Rock,Randy Newman,1979,5,2,3.25
380,Baltimore,Randy Newman,Pop/Rock,Randy Newman,1977,6,19,3.3
381,I'll Be Home,Randy Newman,Pop/Rock,Randy Newman,1971,5,21,3.25
382,Suzanne,Randy Newman,Pop/Rock,Randy Newman,1970,5,2,3.625
383,In Germany Before the War,Randy Newman,Pop/Rock,Randy Newman,1977,6,6,3.4
384,Pancho and Lefty,Townes Van Zandt,Country,Townes Van Zandt,1972,18,36,3.1875
385,Tecumseh Valley,Townes Van Zandt,Country,Townes Van Zandt,1968,14,16,3.2916666666666665
386,If I Needed You,Townes Van Zandt,Country,Townes Van Zandt,1972,17,62,3.5357142857142856
387,To Live Is to Fly,Townes Van Zandt,Country,Townes Van Zandt,1972,16,11,3.55
388,No Place to Fall,Townes Van Zandt,Country,Townes Van Zandt,1977,10,17,3.2777777777777777
389,For the Sake of the Song,Townes Van Zandt,Country,Townes Van Zandt,1968,14,5,3.272727272727273
390,Lungs,Townes Van Zandt,Country,Townes Van Zandt,1969,7,13,3.25
391,Waiting Around to Die,Townes Van Zandt,Country,Townes Van Zandt,1969,13,11,3.3181818181818183
392,Mr. Mudd and Mr. Gold,Townes Van Zandt,Country,Townes Van Zandt,1972,8,5,3.5
393,Loretta,Townes Van Zandt,Country,Townes Van Zandt,1977,10,15,3.333333333333333
394,Brand New Companion,Townes Van Zandt,Folk,Townes Van Zandt,1971,10,1,3.388888888888889
395,White Freight Liner Blues,Townes Van Zandt,Country,Townes Van Zandt,1977,5,29,3.1
396,You Are Not Needed Now,Townes Van Zandt,Pop/Rock,Townes Van Zandt,1972,8,2,3.5625
397,Nothin',Townes Van Zandt,Folk,Townes Van Zandt,1971,7,10,2.642857142857143
398,Poncho & Lefty,Townes Van Zandt,Country,Townes Van Zandt,1972,9,5,3.6666666666666665
399,Buckskin Stallion Blues,Townes Van Zandt,Pop/Rock,Townes Van Zandt,1978,5,5,3.0
400,Only Him or Me,Townes Van Zandt,Country,Townes Van Zandt,1971,6,2,3.5
401,Our Mother the Mountain,Townes Van Zandt,Country,Townes Van Zandt,1969,9,4,3.4285714285714284
402,Colorado Girl,Townes Van Zandt,Country,Townes Van Zandt,1969,9,3,3.5
403,Dollar Bill Blues,Townes Van Zandt,Folk,Townes Van Zandt,1978,5,4,3.375
404,Kathleen,Chromatics ,Country,Townes Van Zandt,1998,10,7,3.388888888888889
405,Rex's Blues,Townes Van Zandt,Country,Townes Van Zandt,1977,5,17,3.3
406,Rake,Townes Van Zandt,Folk,Townes Van Zandt,1971,5,10,3.0
407,"1, 2 Step",Ciara ,R&B,Phalon Alexander,2004,8,4,3.125
408,Pass That Dutch,Missy Elliott,Rap,Missy Elliott,2003,3,1,3.0
409,I'm Really Hot,Missy Elliott,Rap,Craig Brockman,2003,2,0,3.5
410,Girl from Ipanema,Stan Getz ,Jazz,Vinícius de Moraes,1964,43,323,3.111111111111111
411,Desafinado,Stan Getz,International,Antônio Carlos Jobim,1962,43,126,3.272727272727273
412,Autumn Leaves,Stan Getz,Jazz,Joseph Kosma,1952,26,845,2.75
413,Samba Triste,Charlie Byrd ,International,Billy Blanco,1962,37,21,3.375
414,But Beautiful,Stan Getz,Jazz,Johnny Burke,1964,30,362,3.2142857142857144
415,Só Danço Samba,Luiz Bonfá ,International,Vinícius de Moraes,1964,27,79,3.4375
416,Yesterdays,Stan Getz,Jazz,Otto Harbach,1952,22,614,3.1923076923076925
417,So Danco Samba,Luiz Bonfá ,International,Vinícius de Moraes,1963,22,79,3.75
418,Don't Worry 'Bout Me,Stan Getz,Jazz,Rube Bloom,1955,22,176,2.647058823529412
419,Stella by Starlight,Stan Getz,Vocal,Ned Washington,1954,20,712,3.1923076923076925
420,Insensatez,Luiz Bonfá ,International,Vinícius de Moraes,1963,18,76,3.0
421,Billie's Bounce,Stan Getz,Vocal,Charlie Parker,1958,11,175,3.125
422,1/1,Brian Eno,Avant-Garde,Rhett Davies,1978,9,1,3.0
423,By This River,Brian Eno,Pop/Rock,Brian Eno,1977,8,4,3.333333333333333
424,Taking Tiger Mountain,Brian Eno,Pop/Rock,Brian Eno,1974,7,1,3.3
425,Baby's on Fire,Brian Eno,Pop/Rock,Brian Eno,1974,7,19,3.6
426,Here Come the Warm Jets,Brian Eno,Pop/Rock,Brian Eno,1974,6,11,3.7
427,Deep Blue Day,Brian Eno,Avant-Garde,Brian Eno,1983,6,1,3.8333333333333335
428,I'll Come Running,Brian Eno,Pop/Rock,Brian Eno,1975,6,2,3.4
429,Signals,Brian Eno,Ethereal,Brian Eno,1983,9,0,3.5
430,No One Receiving,Brian Eno,Pop/Rock,Brian Eno,1977,5,0,3.5
431,Here He Comes,Brian Eno,Pop/Rock,Brian Eno,1977,5,0,3.375
432,Another Green World,Brian Eno,Pop/Rock,Brian Eno,1975,4,2,3.375
433,Third Uncle,Brian Eno,Pop/Rock,Brian Eno,1974,4,2,4.0
434,King's Lead Hat,Brian Eno,Pop/Rock,Brian Eno,1977,4,3,4.0
435,Energy Fools the Magician,Brian Eno,Pop/Rock,Brian Eno,1977,4,1,3.625
436,Needles in the Camel's Eye,Brian Eno,Pop/Rock,Brian Eno,1974,4,3,3.75
437,St. Elmo's Fire,Brian Eno,Pop/Rock,Brian Eno,1975,4,4,3.375
438,2/2,Brian Eno,Avant-Garde,Brian Eno,1978,4,1,4.0
439,Home,David Byrne ,Pop/Rock,David Byrne,2008,3,1,3.0
440,Bella's Lullaby,Carter Burwell,Stage & Screen,Carter Burwell,2008,4,12,2.5
441,"Twilight, film score~Bella's Lullaby",Carter Burwell,Stage & Screen,Carter Burwell,2008,1,0,3.0
442,Toy Trumpet,Raymond Scott,Classical,Raymond Scott,1949,12,18,3.4166666666666665
443,Powerhouse,Raymond Scott,Classical,Raymond Scott,1950,7,36,4.0
444,Twilight in Turkey,Raymond Scott,Comedy/Spoken,Raymond Scott,1952,5,24,4.0
445,Happy Whistler,Raymond Scott,Avant-Garde,Raymond Scott,1997,2,0,3.25
446,War Dance For Wooden Indians,Raymond Scott,Comedy/Spoken,Raymond Scott,1992,2,5,4.0
447,Dinner Music For a Pack of Hungry Cannibals,Raymond Scott,Easy Listening,Raymond Scott,1992,2,10,4.0
448,Wino & Junkie,Richard Pryor,Comedy/Spoken,Richard Pryor,1974,3,0,4.166666666666667
449,Jim Brown,Richard Pryor,Comedy/Spoken,Richard Pryor,1979,2,0,4.0
450,Super Nigger,Richard Pryor,Comedy/Spoken,Richard Pryor,1968,3,0,3.8333333333333335
451,Heart Attacks,Richard Pryor,Comedy/Spoken,Richard Pryor,1979,4,0,3.5
452,Wino Dealing With Dracula,Richard Pryor,Comedy/Spoken,Richard Pryor,1974,3,0,4.166666666666667
453,When Your Woman Leaves You,Richard Pryor,Comedy/Spoken,Richard Pryor,1975,3,0,4.166666666666667
454,Niggers Vs. The Police,Richard Pryor,Comedy/Spoken,Richard Pryor,1974,3,0,4.166666666666667
455,New Year's Eve,Richard Pryor,Comedy/Spoken,Richard Pryor,1979,3,0,4.166666666666667
456,Mudbone (Little Feets),Richard Pryor,Comedy/Spoken,Richard Pryor,1975,3,0,4.166666666666667
457,Mudbone (Intro),Richard Pryor,Comedy/Spoken,Richard Pryor,1975,3,0,4.166666666666667
458,Monkeys,Richard Pryor,Comedy/Spoken,Richard Pryor,1979,3,0,4.166666666666667
459,I Like Women,Richard Pryor,Comedy/Spoken,Richard Pryor,1983,4,0,4.166666666666667
460,Hospital,Richard Pryor,Comedy/Spoken,Richard Pryor,1982,3,0,4.166666666666667
461,Have Your Ass Home by 11:00,Richard Pryor,Comedy/Spoken,Richard Pryor,1974,3,0,4.166666666666667
462,Freebase,Richard Pryor,Comedy/Spoken,Richard Pryor,1982,3,0,4.166666666666667
463,Black & White Life Styles,Richard Pryor,Comedy/Spoken,Richard Pryor,1974,3,0,4.166666666666667
464,Bicentennial Prayer,Richard Pryor,Comedy/Spoken,Richard Pryor,1976,4,0,4.25
465,Bicentennial Nigger,Richard Pryor,Comedy/Spoken,Richard Pryor,1976,4,0,4.25
466,Africa,Richard Pryor,Comedy/Spoken,Richard Pryor,1982,3,0,4.166666666666667
467,Rumpelstiltskin,Richard Pryor,Comedy/Spoken,Richard Pryor,1968,2,0,2.75
468,Hank's Place,Richard Pryor,Comedy/Spoken,Richard Pryor,1968,2,0,2.75
469,Women,Richard Pryor,Comedy/Spoken,Richard Pryor,1982,2,0,4.0
470,White and Black People,Richard Pryor,Comedy/Spoken,Richard Pryor,1979,2,0,4.0
471,Prison,Richard Pryor,Comedy/Spoken,Richard Pryor,1982,2,0,4.0
472,Our Text for Today,Richard Pryor,Comedy/Spoken,Richard Pryor,1975,2,0,4.0
473,My Philosophy,Boogie Down Productions,Rap,KRS-One,1988,14,2,3.090909090909091
474,You Must Learn,Boogie Down Productions,Rap,KRS-One,1989,5,1,3.25
475,Stop the Violence,Boogie Down Productions,Rap,KRS-One,1988,2,1,3.5
476,Jack of Spades,Boogie Down Productions,Rap,KRS-One,1989,2,0,4.0
477,South Bronx,Boogie Down Productions,Rap,KRS-One,1987,6,2,3.1
478,Criminal Minded,Boogie Down Productions,Rap,KRS-One,1987,5,2,2.7
479,Bridge Is Over,Boogie Down Productions,Rap,Scott La Rock,1991,5,3,2.625
480,Poetry,Boogie Down Productions,Rap,KRS-One,1987,4,1,3.125
481,9mm Goes Bang,Boogie Down Productions,Rap,KRS-One,1987,4,0,3.125
482,P Is Free,Boogie Down Productions,Rap,KRS-One,1987,2,1,3.5
483,My Philosphy,Boogie Down Productions,Rap,KRS-One,1990,1,0,1.5
484,Scott La Rock Megamix,Boogie Down Productions,Rap,KRS-One,1987,2,0,4.25
485,I'm Still #1,Boogie Down Productions,Rap,KRS-One,1988,2,0,3.5
486,Who Protects Us From You,Boogie Down Productions,Rap,L. Parker,1993,1,0,2.5
487,Bean Time,Leo Kottke,Folk,Leo Kottke,1972,4,0,3.5
488,Airproofing,Leo Kottke,Folk,Leo Kottke,1976,4,0,3.5
489,Cripple Creek,Leo Kottke,Happy,Traditional,1971,6,79,2.9166666666666665
490,Standing in My Shoes,Leo Kottke,Folk,Denny Bruce,1971,3,0,3.333333333333333
491,Busted Bicycle,Leo Kottke,Folk,Leo Kottke,1971,3,1,4.0
492,Pamela Brown,Leo Kottke,Sentimental,Tom T. Hall,1974,4,5,2.875
493,Little Martha,Leo Kottke,Folk,Duane Allman,1986,3,18,3.333333333333333
494,Morning Is the Long Way Home,Leo Kottke,Pop/Rock,Leo Kottke,1974,3,0,2.5
495,Hear the Wind Howl,Leo Kottke,Folk,Leo Kottke,1971,2,0,2.25
496,Driver,Leo Kottke,Folk,Leo Kottke,1991,3,0,3.1666666666666665
497,Room at the Top of the Stairs,Leo Kottke,Pop/Rock,Randall Hylton,1994,2,7,2.75
498,Sonora's Death Row,Leo Kottke,Folk,Kevin Blackie Farrell,1978,3,7,3.5
499,Eggtooth,Leo Kottke,Folk,Leo Kottke,1973,1,0,4.0
500,Eight Miles High,Leo Kottke,Brooding,Gene Clark,1971,3,47,3.8333333333333335
501,Embryonic Journey,Leo Kottke,Happy,Jorma Kaukonen,1979,3,13,3.5
502,Tiny Island,Leo Kottke,Yearning,Al Gaylor,1972,2,0,3.25
503,Driving of the Year Nail,Leo Kottke,Country,Leo Kottke,1971,2,0,4.0
504,Retrograde,Leo Kottke,Country,Leo Kottke,1999,2,0,3.0
505,Other Day (Near Santa Cruz),Leo Kottke,Folk,Leo Kottke,1991,2,0,3.5
506,Big Mob on the Hill,Leo Kottke,Folk,Leo Kottke,1991,2,0,3.5
507,Running up the Stairs,Leo Kottke,Folk,Leo Kottke,1991,2,1,3.5
508,Valentine,Jim Brickman,Pop/Rock,Jim Brickman,2000,20,19,3.1666666666666665
509,Picture This,Jim Brickman,New Age,Jim Brickman,1996,9,2,3.0
510,Rocket to the Moon,Jim Brickman,New Age,Jim Brickman,1994,14,1,3.055555555555556
511,If You Believe,Jim Brickman,New Age,Jim Brickman,1995,14,1,3.15
512,Sending You a Little Christmas,Jim Brickman,New Age,Jim Brickman,2003,7,5,2.5
513,Gift,Jim Brickman,New Age,Jim Brickman,1999,16,12,3.1666666666666665
514,Hero's Dream,Jim Brickman,New Age,Jim Brickman,1997,5,0,3.5
515,Dream Come True,Jim Brickman,New Age,Jim Brickman,1997,10,0,3.0
516,Angel Eyes,Jim Brickman,New Age,Jim Brickman,2002,9,3,3.2
517,Shades of White,Jim Brickman,International,Jim Brickman,2001,9,0,3.2142857142857144
518,Shaker Lakes,Jim Brickman,New Age,Jim Brickman,1994,6,1,2.8
519,By Heart,Jim Brickman,New Age,Jim Brickman,1995,4,3,3.5
520,Rachel's Song,Vangelis,New Age,Vangelis,1994,21,6,3.125
521,Chariots of Fire,Vangelis,Avant-Garde,Vangelis,1981,19,94,2.772727272727273
522,Love Theme from Blade Runner,Dick Morrissey ,Avant-Garde,Vangelis,1981,12,11,3.4
523,To the Unknown Man,Vangelis,Classical,Vangelis,1977,12,6,2.55
524,Conquest of Paradise,Vangelis,Classical,Vangelis,1992,12,22,2.75
525,La Petite Fille de la Mer,Vangelis,Laid-Back/Mellow,Vangelis,1973,11,0,2.9285714285714284
526,Spiral,Vangelis,Classical,Vangelis,1977,10,2,2.5
527,Love Theme,Vangelis,Avant-Garde,Vangelis,1994,10,4,3.333333333333333
528,Pulstar,Vangelis,Classical,Vangelis,1976,13,16,2.75
529,Sword of Orion,Vangelis,Classical,Vangelis,1976,7,0,2.833333333333333
530,I'll Find My Way Home,Jon & Vangelis,Classical,Jon Anderson,1981,5,8,2.833333333333333
531,Theme From Antarctica,Vangelis,New Age,Vangelis,1983,7,7,3.1
532,Beaubourg,Vangelis,Electronic,Vangelis,1981,2,0,3.0
533,Friends of Mr. Cairo,Jon & Vangelis,Aggressive,Jon Anderson,1981,1,0,2.5
534,Dream in an Open Place,Vangelis,Classical,Vangelis,1995,6,0,2.5
535,Alpha,Vangelis,Classical,Vangelis,1976,10,2,2.7777777777777777
536,West Across the Ocean Sea,Vangelis,Laid-Back/Mellow,Vangelis,1992,5,3,2.875
537,Himalaya,Vangelis,Classical,Vangelis,1979,4,1,3.0
538,Tush,ZZ Top,Pop/Rock,Frank Beard,1975,29,18,3.09375
539,Legs,ZZ Top,Pop/Rock,Frank Beard,1983,29,12,3.2142857142857144
540,La Grange,ZZ Top,Pop/Rock,Frank Beard,1973,24,23,3.409090909090909
541,Cheap Sunglasses,ZZ Top,Pop/Rock,Frank Beard,1979,11,7,3.6666666666666665
542,Tube Snake Boogie,ZZ Top,Pop/Rock,Frank Beard,1981,13,2,3.363636363636364
543,Sleeping Bag,ZZ Top,Pop/Rock,Frank Beard,1985,14,3,3.555555555555556
544,Heard It On The X,ZZ Top,Pop/Rock,Frank Beard,1975,13,6,3.1818181818181817
545,Jesus Just Left Chicago,ZZ Top,Pop/Rock,Frank Beard,1973,11,4,3.2222222222222223
546,I Thank You,ZZ Top,Pop/Rock,Isaac Hayes,1979,7,33,3.7142857142857135
547,Pearl Necklace,ZZ Top,Pop/Rock,Frank Beard,1981,8,4,3.357142857142857
548,Got Me Under Pressure,ZZ Top,Pop/Rock,Frank Beard,1983,8,2,3.9375
549,My Head's in Mississippi,ZZ Top,Pop/Rock,Frank Beard,1990,9,1,3.3125
550,Beer Drinkers & Hell Raisers,ZZ Top,Pop/Rock,Frank Beard,1973,11,5,3.3
551,Give It Up,ZZ Top,Pop/Rock,Frank Beard,1990,8,0,3.2142857142857144
552,Doubleback,ZZ Top,Pop/Rock,Frank Beard,1990,8,2,3.571428571428572
553,Rastaman Camp,Freddie McGregor,Reggae,Freddie McGregor,1989,12,0,2.9375
554,Big Ship,Freddie McGregor,Reggae,Freddie McGregor,1982,9,0,2.6
555,Push Come to Shove,Freddie McGregor,Reggae,Freddie McGregor,1986,8,5,3.2857142857142856
556,Let Him Try,Freddie McGregor,Reggae,Alton Ellis,1991,4,4,3.1666666666666665
557,Rhythm So Nice,Freddie McGregor,Reggae,Freddie McGregor,1983,3,0,4.25
558,Stop Loving You,Freddie McGregor,Reggae,Freddie McGregor,1990,3,1,2.833333333333333
559,Africa Here I Come,Freddie McGregor,Reggae,Freddie McGregor,1994,2,0,4.5
560,Key to the City,Freddie McGregor,Reggae,"Clement ""Coxsone"" Dodd",2000,2,0,2.75
561,Let It Snow,Clayton-Hamilton Jazz Orchestra ,Holiday,Sammy Cahn,2005,40,279,3.5
562,Christmas Time Is Here,Diana Krall,Holiday,Vince Guaraldi,1998,33,321,2.833333333333333
563,Peel Me a Grape,Diana Krall,Jazz,Dave Frishberg,1996,15,54,3.3
564,Jingle Bells,Diana Krall,Holiday,James Pierpont,1997,10,81,3.4
565,Have Yourself a Merry Little Christmas,Diana Krall,Holiday,Ralph Blane,1995,18,1334,2.75
566,Frim Fram Sauce,Diana Krall,Jazz,Redd Evans,1993,11,28,3.375
567,I've Got You Under My Skin,Diana Krall,Jazz,Cole Porter,1998,14,501,3.5
568,Sleigh Ride,Ella Fitzgerald,Blues,Leroy Anderson,1960,256,467,3.15
569,Just the Way You Are,Diana Krall,Jazz,Billy Joel,2002,14,247,2.0
570,Narrow Daylight,Diana Krall,Jazz,Elvis Costello,2004,9,2,2.833333333333333
571,Temptation,Diana Krall,Jazz,Tom Waits,2004,11,20,3.0
572,What Are You Doing New Year's Eve?,Diana Krall,Holiday,Frank Loesser,2005,9,233,3.0
573,Temporarily Humboldt County,Firesign Theatre,Comedy/Spoken,Phil Austin,1968,1,0,3.5
574,Tingings: This Side,Firesign Theatre,Comedy/Spoken,Firesign Theatre,1970,1,0,4.5
575,Temporarily Humbolt County,Firesign Theatre,Comedy/Spoken,Firesign Theatre,1993,1,0,3.5
